id,from_asset,to_asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Balance,NO_Balance,2030,true,1000.0,1000.0,1.0
2,NL_Balance,DK_Balance,2030,true,1000.0,1000.0,1.0
3,NL_Balance,DE_Balance,2030,true,1000.0,1000.0,1.0
4,NL_Balance,UK_Balance,2030,true,1000.0,1000.0,1.0
5,NL_Balance,BE_Balance,2030,true,1000.0,1000.0,1.0
6,BE_Balance,DE_Balance,2030,true,1000.0,1000.0,1.0
7,BE_Balance,FR_Balance,2030,true,1000.0,1000.0,1.0
8,DE_Balance,NO_Balance,2030,true,1000.0,1000.0,1.0
9,DE_Balance,CH_Balance,2030,true,1000.0,1000.0,1.0
10,DE_Balance,AT_Balance,2030,true,1000.0,1000.0,1.0
11,DE_Balance,DK_Balance,2030,true,1000.0,1000.0,1.0
12,DE_Balance,LU_Balance,2030,true,1000.0,1000.0,1.0
13,DE_Balance,SE_Balance,2030,true,1000.0,1000.0,1.0
14,DE_Balance,FR_Balance,2030,true,1000.0,1000.0,1.0
15,DE_Balance,PL_Balance,2030,true,1000.0,1000.0,1.0
16,FR_Balance,IT_Balance,2030,true,1000.0,1000.0,1.0
17,FR_Balance,LU_Balance,2030,true,1000.0,1000.0,1.0
18,FR_Balance,UK_Balance,2030,true,1000.0,1000.0,1.0
19,FR_Balance,CH_Balance,2030,true,1000.0,1000.0,1.0
20,CH_Balance,IT_Balance,2030,true,1000.0,1000.0,1.0
21,UK_Balance,DK_Balance,2030,true,1000.0,1000.0,1.0
22,UK_Balance,IE_Balance,2030,true,1000.0,1000.0,1.0
23,DK_Balance,NO_Balance,2030,true,1000.0,1000.0,1.0
24,DK_Balance,SE_Balance,2030,true,1000.0,1000.0,1.0
25,DK_Balance,PL_Balance,2030,true,1000.0,1000.0,1.0
26,NO_Balance,SE_Balance,2030,true,1000.0,1000.0,1.0
27,SE_Balance,FI_Balance,2030,true,1000.0,1000.0,1.0
28,SE_Balance,LT_Balance,2030,true,1000.0,1000.0,1.0
29,SE_Balance,PL_Balance,2030,true,1000.0,1000.0,1.0
30,AT_Balance,IT_Balance,2030,true,1000.0,1000.0,1.0
31,AT_Balance,SI_Balance,2030,true,1000.0,1000.0,1.0
32,AT_Balance,CZ_Balance,2030,true,1000.0,1000.0,1.0
33,CZ_Balance,PL_Balance,2030,true,1000.0,1000.0,1.0
34,CZ_Balance,SK_Balance,2030,true,1000.0,1000.0,1.0
35,PL_Balance,SK_Balance,2030,true,1000.0,1000.0,1.0
36,PL_Balance,LT_Balance,2030,true,1000.0,1000.0,1.0
37,IT_Balance,GR_Balance,2030,true,1000.0,1000.0,1.0
38,IT_Balance,MT_Balance,2030,true,1000.0,1000.0,1.0
39,LT_Balance,LV_Balance,2030,true,1000.0,1000.0,1.0
40,FI_Balance,EE_Balance,2030,true,1000.0,1000.0,1.0
41,SI_Balance,HR_Balance,2030,true,1000.0,1000.0,1.0
42,SI_Balance,HU_Balance,2030,true,1000.0,1000.0,1.0
43,HU_Balance,SK_Balance,2030,true,1000.0,1000.0,1.0
44,HU_Balance,HR_Balance,2030,true,1000.0,1000.0,1.0
45,HU_Balance,RO_Balance,2030,true,1000.0,1000.0,1.0
46,RO_Balance,BG_Balance,2030,true,1000.0,1000.0,1.0
47,GR_Balance,BG_Balance,2030,true,1000.0,1000.0,1.0
48,ES_Balance,PT_Balance,2030,true,1000.0,1000.0,1.0
49,BE_Balance,LU_Balance,2030,true,1000.0,1000.0,1.0
50,BE_Balance,UK_Balance,2030,true,1000.0,1000.0,1.0
51,FR_Balance,IE_Balance,2030,true,1000.0,1000.0,1.0
52,CH_Balance,AT_Balance,2030,true,1000.0,1000.0,1.0
53,UK_Balance,NO_Balance,2030,true,1000.0,1000.0,1.0
54,IT_Balance,SI_Balance,2030,true,1000.0,1000.0,1.0
55,LV_Balance,EE_Balance,2030,true,1000.0,1000.0,1.0
56,DE_Balance,CZ_Balance,2030,true,1000.0,1000.0,1.0
57,FR_Balance,ES_Balance,2030,true,1000.0,1000.0,1.0
58,AT_Balance,HU_Balance,2030,true,1000.0,1000.0,1.0
59,GR_Balance,CY_Balance,2030,true,1000.0,1000.0,1.0
